month,state,district,district_key,ARI,Risk,BUR,BUD,AWF,MAF_raw,bio_updates_total,demo_updates_total,enrol_total,age_18_greater,MonthDate,Year,MonthName,Recommendation
2025-01,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.9746123377973362,Low,0.0,290000.0,0.0,11.0,952.0,11.0,3,0,2025-01-01,2025,Jan-2025,Stable: Monitor only + periodic checks
2025-02,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6522404510853901,Low,0.0,2000.0,0.0,1.0,2.0,1.0,1,0,2025-02-01,2025,Feb-2025,Stable: Monitor only + periodic checks
2025-04,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6552984425774523,Low,0.0,4666.666666666667,0.0,43.0,23.0,43.0,3,0,2025-04-01,2025,Apr-2025,Stable: Monitor only + periodic checks
2025-09,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6557913924817576,Low,0.0,5142.857142857143,0.0,20.0,149.0,22.0,21,0,2025-09-01,2025,Sep-2025,Stable: Monitor only + periodic checks
2025-10,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6613165884837813,Low,0.0,10000.0,0.0,72.0,199.0,73.0,15,0,2025-10-01,2025,Oct-2025,Stable: Monitor only + periodic checks
2025-11,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6580253823208209,Low,0.0,7000.0,0.0,110.0,104.0,110.0,11,0,2025-11-01,2025,Nov-2025,Stable: Monitor only + periodic checks
2025-12,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,ANDAMAN & NICOBAR ISLANDS|ANDAMANS,0.6532298398228459,Low,0.0,2761.904761904762,0.0,79.0,74.0,79.0,21,0,2025-12-01,2025,Dec-2025,Stable: Monitor only + periodic checks
2025-03,ANDAMAN & NICOBAR ISLANDS,NICOBARS,ANDAMAN & NICOBAR ISLANDS|NICOBARS,0.2000040373155619,High,12.0,0.0,0.0,1.0,0.0,1.0,1,0,2025-03-01,2025,Mar-2025,URGENT: Biometric refresh camp + fallback auth readiness
2025-01,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6522457161683561,Low,0.0,2000.0,0.0,4.0,7.0,4.0,3,0,2025-01-01,2025,Jan-2025,Stable: Monitor only + periodic checks
2025-03,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.653919464655264,Low,0.0,3500.0,0.0,1.0,8.0,1.0,2,0,2025-03-01,2025,Mar-2025,Stable: Monitor only + periodic checks
2025-04,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6522474711960115,Low,0.0,2000.0,0.0,5.0,5.0,5.0,2,0,2025-04-01,2025,Apr-2025,Stable: Monitor only + periodic checks
2025-05,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6522404510853901,Low,0.0,2000.0,0.0,1.0,4.0,1.0,2,0,2025-05-01,2025,May-2025,Stable: Monitor only + periodic checks
2025-08,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6522404510853901,Low,0.0,2000.0,0.0,1.0,3.0,1.0,1,0,2025-08-01,2025,Aug-2025,Stable: Monitor only + periodic checks
2025-09,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6581394283985265,Low,0.0,7250.0,0.0,14.0,33.0,15.0,4,0,2025-09-01,2025,Sep-2025,Stable: Monitor only + periodic checks
2025-10,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6606258015322559,Low,0.0,9428.57142857143,0.0,42.0,87.0,42.0,7,0,2025-10-01,2025,Oct-2025,Stable: Monitor only + periodic checks
2025-11,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6548408603633775,Low,0.0,4250.0,0.0,48.0,41.0,48.0,8,0,2025-11-01,2025,Nov-2025,Stable: Monitor only + periodic checks
2025-12,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS|SOUTH ANDAMAN,0.6586592039831685,Low,0.0,7666.666666666667,0.0,45.0,76.0,46.0,9,0,2025-12-01,2025,Dec-2025,Stable: Monitor only + periodic checks
2025-01,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6726378660936725,Low,0.0,19666.666666666668,0.0,377.0,497.0,409.0,12,0,2025-01-01,2025,Jan-2025,Stable: Monitor only + periodic checks
2025-02,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6567611314012846,Low,0.0,6000.0,0.0,26.0,55.0,28.0,5,0,2025-02-01,2025,Feb-2025,Stable: Monitor only + periodic checks
2025-03,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6578682450771285,Low,0.0,7000.0,0.0,19.0,24.0,19.0,2,0,2025-03-01,2025,Mar-2025,Stable: Monitor only + periodic checks
2025-04,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6527983700721685,Low,0.0,2500.0,0.0,0.0,23.0,0.0,4,0,2025-04-01,2025,Apr-2025,Stable: Monitor only + periodic checks
2025-08,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6601153038996788,Low,0.0,9000.0,0.0,24.0,25.0,24.0,2,0,2025-08-01,2025,Aug-2025,Stable: Monitor only + periodic checks
2025-09,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6532613016396733,Low,0.0,2866.6666666666665,0.0,30.0,91.0,31.0,15,0,2025-09-01,2025,Sep-2025,Stable: Monitor only + periodic checks
2025-10,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6550323359278807,Low,0.0,4411.764705882353,0.0,54.0,116.0,62.0,17,0,2025-10-01,2025,Oct-2025,Stable: Monitor only + periodic checks
2025-11,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.6542585311441377,Low,0.0,3700.0,0.0,67.0,117.0,71.0,10,0,2025-11-01,2025,Nov-2025,Stable: Monitor only + periodic checks
2025-12,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS|NICOBAR,0.651875169219298,Low,0.0,1625.0,0.0,32.0,66.0,34.0,8,0,2025-12-01,2025,Dec-2025,Stable: Monitor only + periodic checks
2025-01,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,1.0,Low,0.0,361750.0,0.0,426.0,2900.0,456.0,4,0,2025-01-01,2025,Jan-2025,Stable: Monitor only + periodic checks
2025-02,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6596055286473061,Low,0.0,8500.0,0.0,53.0,123.0,53.0,4,0,2025-02-01,2025,Feb-2025,Stable: Monitor only + periodic checks
2025-03,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6533965304180858,Low,0.0,3000.0,0.0,22.0,54.0,23.0,6,0,2025-03-01,2025,Mar-2025,Stable: Monitor only + periodic checks
2025-04,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6567611314012846,Low,0.0,6000.0,0.0,26.0,61.0,26.0,3,0,2025-04-01,2025,Apr-2025,Stable: Monitor only + periodic checks
2025-05,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6612191278293214,Low,0.0,10000.0,0.0,15.0,42.0,15.0,1,0,2025-05-01,2025,May-2025,Stable: Monitor only + periodic checks
2025-06,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6515293987045729,Low,0.0,1333.3333333333333,0.0,21.0,33.0,23.0,3,0,2025-06-01,2025,Jun-2025,Stable: Monitor only + periodic checks
2025-07,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6544808795749741,Low,0.0,4000.0,0.0,2.0,7.0,2.0,1,0,2025-07-01,2025,Jul-2025,Stable: Monitor only + periodic checks
2025-08,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,0.6527249961669255,Low,0.0,2400.0,0.0,22.0,25.0,22.0,5,0,2025-08-01,2025,Aug-2025,Stable: Monitor only + periodic checks
